instance_id,num_vehicles,vehicle_capacity,depot_x,depot_y,shift_start,shift_end,speed,order_id,x,y,demand,ready_time,due_time,service_time
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,1,14.1080,11.3860,7,647,952,5
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,2,11.5540,19.0030,4,480,847,10
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,3,8.9280,4.3010,6,480,769,7
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,4,18.9600,11.3320,10,750,1010,8
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,5,21.2810,11.6110,7,480,842,13
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,6,7.5960,3.8130,3,530,782,12
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,7,11.1590,3.9980,2,480,882,8
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,8,18.6300,12.8250,1,480,764,7
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,9,11.7420,14.1290,2,480,876,12
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,10,4.9360,19.0010,10,630,1010,13
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,11,19.5830,21.0820,12,597,942,10
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,12,18.7250,12.6510,3,480,780,9
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,13,12.1640,15.2590,15,502,772,15
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,14,3.6270,25.0570,15,587,904,12
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,15,25.1240,5.2250,4,535,902,10
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,16,4.3210,13.4500,12,704,1010,12
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,17,22.0640,11.1430,11,593,907,14
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,18,9.7420,5.3640,2,509,770,7
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,19,11.7320,1.7020,8,501,812,10
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,20,18.3190,9.4860,7,527,871,6
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,21,6.3480,3.0410,3,663,1010,7
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,22,4.7500,8.9580,13,499,903,9
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,23,22.4300,11.7510,15,669,1010,7
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,24,4.1340,9.8720,4,480,836,8
sample_01,2,150,14.0000,14.0000,480,1020,0.6000,25,7.7390,5.0250,8,622,938,11
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,1,3.7040,18.3830,13,653,991,13
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,2,22.2270,5.8270,12,593,902,8
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,3,20.1560,11.9780,10,480,807,14
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,4,14.5810,23.0210,11,756,1010,12
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,5,5.0430,16.3320,9,560,881,7
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,6,5.0840,14.9340,14,480,830,12
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,7,19.5190,9.1660,14,584,1001,14
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,8,2.1670,18.2520,13,618,897,13
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,9,2.1530,19.1060,1,506,865,11
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,10,3.0430,16.6040,8,716,995,7
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,11,17.9800,5.2240,6,480,880,5
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,12,19.2810,21.8890,3,691,1010,7
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,13,0.6320,7.7920,10,480,801,14
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,14,0.2980,19.3100,9,724,1010,6
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,15,19.5020,13.7790,3,629,870,9
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,16,18.9950,14.4360,2,804,1010,14
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,17,0.5600,7.9190,13,681,973,14
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,18,14.0730,19.4080,1,514,825,12
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,19,18.5620,19.0310,6,603,875,10
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,20,18.8790,11.5080,10,480,865,7
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,21,17.7740,11.7080,8,679,1010,12
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,22,18.9290,9.2650,3,598,890,10
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,23,18.0310,12.4990,14,600,880,14
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,24,23.9660,11.9140,1,610,938,11
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,25,4.9430,26.9100,7,480,738,8
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,26,20.9670,13.3440,15,480,782,11
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,27,17.6410,13.7880,10,709,1010,8
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,28,21.7770,11.1600,3,785,1010,13
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,29,2.6420,4.1930,1,548,814,7
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,30,24.2570,7.2350,7,592,924,5
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,31,18.2990,9.4150,5,556,923,13
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,32,12.6580,21.0550,2,480,748,15
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,33,16.8260,6.5050,2,516,846,15
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,34,7.1400,11.5550,7,480,883,9
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,35,16.1030,7.1450,10,480,751,14
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,36,9.4390,23.9790,15,543,961,10
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,37,15.3190,6.8390,4,570,939,12
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,38,3.0190,15.2640,15,649,1010,10
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,39,3.6410,18.2900,5,537,878,10
sample_02,2,250,14.0000,14.0000,480,1020,0.6000,40,3.2290,19.7550,9,689,958,7
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,1,18.0940,12.8600,15,692,745,11
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,2,6.3720,8.7440,11,544,615,11
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,3,16.5020,6.1220,12,715,762,9
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,4,20.9330,13.9160,12,526,595,14
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,5,17.6610,5.6840,8,705,781,9
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,6,19.7220,12.7400,6,901,973,13
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,7,5.7430,11.6500,1,506,578,14
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,8,6.8250,13.1580,11,705,772,12
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,9,22.3220,10.8370,6,709,759,7
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,10,2.6870,14.2390,5,894,954,10
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,11,19.9930,16.1130,9,896,963,8
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,12,17.1290,11.7210,11,500,579,5
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,13,4.3740,11.8770,5,729,797,15
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,14,7.2470,11.0250,14,894,937,10
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,15,5.5050,11.5880,12,710,785,14
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,16,20.2680,6.1570,4,508,576,8
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,17,7.6190,12.7100,4,724,769,7
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,18,18.1900,4.9360,14,536,599,10
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,19,16.1280,4.2640,12,685,759,7
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,20,20.1260,12.7750,3,555,597,11
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,21,6.8290,13.2290,6,919,978,6
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,22,18.5810,13.1500,10,731,780,14
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,23,3.5430,10.8870,9,723,775,9
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,24,4.8490,13.2460,11,885,962,8
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,25,17.1660,12.1260,5,551,586,10
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,26,20.1890,12.7120,9,537,598,10
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,27,7.9230,13.4230,8,693,750,8
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,28,16.4080,3.1420,15,683,752,13
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,29,20.2780,12.5050,4,925,1003,6
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,30,7.5660,12.0980,2,890,966,9
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,31,5.9620,10.6700,15,713,772,9
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,32,20.0730,4.5430,8,691,767,9
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,33,14.0510,3.9430,6,533,586,15
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,34,17.2780,14.7770,5,697,763,11
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,35,17.9560,4.4520,6,519,554,10
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,36,17.4170,7.2140,6,706,750,13
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,37,17.6010,6.1380,14,503,583,6
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,38,21.1410,14.7680,9,906,952,8
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,39,18.0590,12.1800,2,911,962,11
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,40,6.3330,10.3800,4,922,989,15
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,41,19.1440,14.5370,9,892,957,11
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,42,4.2980,12.7240,4,554,603,7
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,43,19.0480,11.3840,15,740,786,12
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,44,8.1500,11.6240,10,742,783,8
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,45,18.4280,13.8740,10,719,762,7
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,46,19.0960,10.5320,15,911,981,15
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,47,16.1000,2.5490,15,512,573,12
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,48,7.8530,10.2920,5,918,998,5
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,49,18.5410,12.8720,3,908,980,6
sample_03,3,185,14.0000,14.0000,480,1020,0.6000,50,18.9200,3.9800,7,687,749,7
